lat,lon,alt,time,dist,dt,ddist,vel_kmh,dalt,pendiente_%,aceleracion,consumo_kwh,consumo_acum_kwh
4.71115239,-74.10393802,2589.77,2025-09-17 18:03:56+00:00,91544.32653424061,2.0,17.863403112161905,32.15412560189143,-0.15999999999985448,-0.8956859955252423,0.9756739979973652,0.021436083734594286,109.85319184108864
4.71106391,-74.10407386,2589.62,2025-09-17 18:03:58+00:00,91562.31014111724,2.0,17.9836068766308,32.37049237793544,-0.15000000000009095,-0.8340929660501631,0.108183388022006,0.02158032825195696,109.8747721693406
4.71098182,-74.10419713,2590.42,2025-09-17 18:04:00+00:00,91578.73983090396,2.0,16.429689786717063,29.573441616090715,0.8000000000001819,4.869233749300362,-1.3985253809223632,0.019715627744060476,109.89448779708466
4.71091524,-74.10429387,2589.58,2025-09-17 18:04:02+00:00,91591.76834572863,2.0,13.028514824676677,23.451326684418017,-0.8400000000001455,-6.447396432394139,-3.061057465836349,0.015634217789612014,109.91012201487428
4.71084968,-74.10439852,2590.11,2025-09-17 18:04:05+00:00,91605.46649006783,3.0,13.698144339199644,16.437773207039573,0.5300000000002001,3.869137212136917,-2.337851159126148,0.016437773207039572,109.92655978808132
4.71086843,-74.10449362,2589.18,2025-09-17 18:04:08+00:00,91616.20965307439,3.0,10.743163006554823,12.891795607865788,-0.930000000000291,-8.65666842654125,-1.1819925330579284,0.012891795607865787,109.93945158368919
4.71096628,-74.10457696,2589.28,2025-09-17 18:04:11+00:00,91630.48135180287,3.0,14.27169872848026,17.126038474176312,0.1000000000003638,0.7006874367436456,1.4114142887701746,0.017126038474176312,109.95657762216337
4.71104017,-74.10466795,2588.79,2025-09-17 18:04:13+00:00,91643.4883383499,2.0,13.006986547028646,23.412575784651562,-0.49000000000023647,-3.7672061720719894,3.143268655237625,0.015608383856434375,109.9721860060198
4.71111535,-74.10474475,2588.36,2025-09-17 18:04:15+00:00,91655.4181008013,2.0,11.929762451400165,21.473572412520298,-0.4299999999998363,-3.604430530377982,-0.969501686065632,0.014315714941680198,109.98650172096147
4.71118756,-74.10482659,2588.79,2025-09-17 18:04:17+00:00,91667.53114765708,2.0,12.113046855782159,21.803484340407888,0.4299999999998363,3.549891328906863,0.16495596394379497,0.01453565622693859,110.00103737718841
4.71131537,-74.10494929,2590.57,2025-09-17 18:04:19+00:00,91687.20011981309,2.0,19.668972156010568,35.40414988081903,1.7800000000002,9.049786566789441,6.80033277020557,0.023602766587212682,110.02464014377563
4.71138471,-74.10501447,2591.25,2025-09-17 18:04:20+00:00,91697.76528032913,1.0,10.565160516038304,38.034577857737894,0.6799999999998363,6.436248639739748,2.6304279769188668,0.012678192619245965,110.03731833639488
4.7114533,-74.10507701,2591.57,2025-09-17 18:04:21+00:00,91708.07074814838,1.0,10.305467819256592,37.09968414932373,0.3200000000001637,3.105147729462782,-0.9348937084141653,0.01236656138310791,110.04968489777798
4.71151955,-74.10514808,2591.67,2025-09-17 18:04:22+00:00,91718.85489636249,1.0,10.784148214108427,38.82293357079034,0.09999999999990905,0.9272869587334069,1.7232494214666119,0.012940977856930113,110.06262587563491
4.71158043,-74.10521886,2591.88,2025-09-17 18:04:23+00:00,91729.21596194382,1.0,10.36106558132451,37.29983609276824,0.21000000000003638,2.0268185579150724,-1.5230974780221018,0.012433278697589412,110.0750591543325
4.7116388,-74.10528895,2592.1,2025-09-17 18:04:24+00:00,91739.33807182741,1.0,10.12210988359584,36.439595580945024,0.2199999999997999,2.1734599063811566,-0.8602405118232141,0.012146531860315007,110.0872056861928
4.71175274,-74.10540756,2592.39,2025-09-17 18:04:26+00:00,91757.59427839777,2.0,18.256206570353243,32.86117182663584,0.2899999999999636,1.5885008689094406,-1.7892118771545924,0.02190744788442389,110.10911313407723
4.71185107,-74.1055116,2592.22,2025-09-17 18:04:28+00:00,91773.48390201617,2.0,15.889623618408223,28.6013225131348,-0.17000000000007276,-1.0698805968136762,-2.1299246567505197,0.019067548342089867,110.12818068241933
4.711939,-74.1056103,2591.86,2025-09-17 18:04:30+00:00,91788.15473968184,2.0,14.670837665660656,26.407507798189183,-0.3599999999996726,-2.4538476139116976,-1.0969073574728085,0.017605005198792788,110.14578568761812
4.71202836,-74.10570647,2591.92,2025-09-17 18:04:32+00:00,91802.72571682259,2.0,14.57097714075644,26.227758853361593,0.05999999999994543,0.4117774629686268,-0.0898744724137952,0.017485172568907727,110.16327086018703
4.71212002,-74.10580444,2591.82,2025-09-17 18:04:34+00:00,91817.61708185289,2.0,14.891365030300221,26.8044570545404,-0.09999999999990905,-0.6715301102110783,0.28834910058940366,0.017869638036360266,110.18114049822339
4.71219672,-74.10588574,2592.19,2025-09-17 18:04:36+00:00,91830.02315403637,2.0,12.406072183483047,22.330929930269487,0.36999999999989086,2.982410504530952,-2.2367635621354562,0.014887286620179655,110.19602778484357
4.71226737,-74.10595069,2592.27,2025-09-17 18:04:39+00:00,91840.67784183036,3.0,10.654687793983612,12.785625352780336,0.07999999999992724,0.750843211427564,-3.1817681924963837,0.012785625352780335,110.20881341019634
4.71234074,-74.10601995,2592.03,2025-09-17 18:04:41+00:00,91851.8791673496,2.0,11.201325519243255,20.16238593463786,-0.23999999999978172,-2.1426035658679417,3.6883802909287624,0.013441590623091906,110.22225500081943
4.71245396,-74.10613584,2592.23,2025-09-17 18:04:43+00:00,91869.86341761383,2.0,17.98425026422774,32.37165047560993,0.1999999999998181,1.112084168432841,6.104632270486036,0.021581100317073287,110.24383610113651
4.712527,-74.10620786,2592.37,2025-09-17 18:04:44+00:00,91881.2502953979,1.0,11.386877784068929,40.99276002264815,0.13999999999987267,1.2294854011320193,8.621109547038216,0.013664253340882716,110.25750035447739
4.71260372,-74.10628675,2592.49,2025-09-17 18:04:45+00:00,91893.46534142357,1.0,12.215046025667107,43.974165692401584,0.11999999999989086,0.9823949885062936,2.9814056697534355,0.014658055230800528,110.27215840970818
4.71268099,-74.10636611,2592.92,2025-09-17 18:04:46+00:00,91905.76037866589,1.0,12.295037242321996,44.26213407235919,0.43000000000029104,3.497346055367318,0.28796837995760427,0.014754044690786394,110.28691245439897
4.71274907,-74.10644479,2592.88,2025-09-17 18:04:47+00:00,91917.3073394208,1.0,11.546960754916654,41.56905871769995,-0.03999999999996362,-0.3464115003849109,-2.6930753546592356,0.013856352905899984,110.30076880730488
4.71281781,-74.10651661,2592.9,2025-09-17 18:04:48+00:00,91928.34226961774,1.0,11.034930196939968,39.725748708983886,0.01999999999998181,0.18124265077388432,-1.8433100087160668,0.013241916236327962,110.3140107235412
4.71288708,-74.10658805,2593.0,2025-09-17 18:04:49+00:00,91939.3878799986,1.0,11.04561038085376,39.764197371073536,0.09999999999990905,0.9053370212410086,0.03844866208964959,0.01325473245702451,110.32726545599823
4.71296747,-74.10665591,2593.09,2025-09-17 18:04:50+00:00,91951.06940548462,1.0,11.681525486026658,42.05349174969597,0.09000000000014552,0.7704473196399114,2.2892943786224365,0.014017830583231989,110.34128328658146
4.71305209,-74.1067363,2593.06,2025-09-17 18:04:51+00:00,91964.02705837577,1.0,12.957652891142061,46.64755040811142,-0.03000000000020009,-0.23152341131709347,4.594058658415449,0.015549183469370472,110.35683247005083
4.71312911,-74.10681434,2592.87,2025-09-17 18:04:52+00:00,91976.19830949204,1.0,12.171251116276835,43.81650401859661,-0.19000000000005457,-1.5610556234926753,-2.8310463895148104,0.0146055013395322,110.37143797139036
4.7131993,-74.10689023,2592.47,2025-09-17 18:04:53+00:00,91987.67190418829,1.0,11.473594696246437,41.304940906487175,-0.40000000000009095,-3.486265730921715,-2.5115631121094353,0.013768313635495725,110.38520628502586
4.71326385,-74.10695816,2592.03,2025-09-17 18:04:54+00:00,91998.07325607374,1.0,10.401351885448094,37.44486678761314,-0.4399999999995998,-4.230219348844234,-3.8600741188740386,0.012481622262537712,110.3976879072884
4.71333231,-74.10702836,2592.04,2025-09-17 18:04:55+00:00,92008.95760829782,1.0,10.884352224078611,39.183668006683,0.009999999999763531,0.09187501280637816,1.7388012190698632,0.013061222668894333,110.4107491299573
4.71340799,-74.10710336,2591.67,2025-09-17 18:04:56+00:00,92020.78536299978,1.0,11.827754701967933,42.57991692708456,-0.36999999999989086,-3.1282353187315364,3.396248920401561,0.014193305642361518,110.42494243559966
4.71348633,-74.10718318,2591.56,2025-09-17 18:04:57+00:00,92033.20009977832,1.0,12.414736778533552,44.69305240272079,-0.11000000000012733,-0.88604375559802,2.113135475636227,0.01489768413424026,110.4398401197339
4.71355983,-74.10726133,2591.05,2025-09-17 18:04:58+00:00,92045.10804955833,1.0,11.907949780012132,42.868619208043675,-0.5099999999997635,-4.282853131072274,-1.8244331946771126,0.014289539736014559,110.45412965946991
4.71363279,-74.10733722,2590.77,2025-09-17 18:04:59+00:00,92056.79334168887,1.0,11.685292130539892,42.067051669943616,-0.2800000000002001,-2.396174583161776,-0.8015675381000591,0.014022350556647871,110.46815201002656
4.71370363,-74.10741294,2590.38,2025-09-17 18:05:00+00:00,92068.3024763584,1.0,11.509134669526247,41.43288481029449,-0.38999999999987267,-3.388612708064926,-0.6341668596491274,0.013810961603431498,110.48196297162998
4.71377271,-74.107487,2590.39,2025-09-17 18:05:01+00:00,92079.54355742177,1.0,11.241081063373713,40.46789182814537,0.009999999999763531,0.0889594154101963,-0.9649929821491199,0.013489297276048454,110.49545226890604
4.71384238,-74.10755634,2590.42,2025-09-17 18:05:02+00:00,92090.45510272351,1.0,10.9115453017439,39.28156308627804,0.03000000000020009,0.2749381427707169,-1.186328741867328,0.013093854362092679,110.50854612326813
4.71391543,-74.1076299,2590.49,2025-09-17 18:05:03+00:00,92101.96301600075,1.0,11.507913277237094,41.42848779805354,0.06999999999970896,0.6082770899757344,2.1469247117754975,0.013809495932684513,110.52235561920082
4.71399659,-74.10771111,2590.56,2025-09-17 18:05:04+00:00,92114.70804452637,1.0,12.74502852562,45.882102692232,0.07000000000016371,0.5492337648319109,4.453614894178465,0.015294034230744,110.53764965343157
4.7140864,-74.10779914,2590.67,2025-09-17 18:05:05+00:00,92128.66855685886,1.0,13.96051233248727,50.25784439695417,0.11000000000012733,0.7879366987424108,4.3757417047221665,0.016752614798984725,110.55440226823056
4.71417808,-74.1078924,2590.75,2025-09-17 18:05:06+00:00,92143.18531123476,1.0,14.516754375901655,52.26031575324596,0.07999999999992724,0.5510873706916897,2.0024713562917924,0.017420105251081987,110.57182237348164
4.71426873,-74.10798239,2590.83,2025-09-17 18:05:07+00:00,92157.36470198371,1.0,14.179390748948208,51.04580669621355,0.07999999999992724,0.5641991353250593,-1.2145090570324086,0.017015268898737848,110.58883764238037
4.7143524,-74.10807137,2590.82,2025-09-17 18:05:08+00:00,92170.92165236713,1.0,13.556950383426738,48.80502138033626,-0.009999999999763531,-0.0737629018100446,-2.2407853158772966,0.016268340460112087,110.60510598284048
4.71443575,-74.10815255,2590.96,2025-09-17 18:05:09+00:00,92183.83793656823,1.0,12.916284201099188,46.49862312395708,0.13999999999987267,1.0839030623680341,-2.3063982563791754,0.015499541041319025,110.6206055238818
4.71451239,-74.10823153,2591.12,2025-09-17 18:05:10+00:00,92196.05389839622,1.0,12.215961827983847,43.97746258074185,0.15999999999985448,1.3097617875109329,-2.521160543215231,0.014659154193580616,110.63526467807539
4.71458336,-74.10830569,2591.45,2025-09-17 18:05:11+00:00,92207.44760444695,1.0,11.393706050730543,41.017341782629956,0.32999999999992724,2.8963359115164136,-2.9601207981118947,0.013672447260876651,110.64893712533626
4.71464866,-74.10837287,2591.74,2025-09-17 18:05:12+00:00,92217.84700742069,1.0,10.39940297373687,37.43785070545273,0.2899999999999636,2.7886216231099317,-3.5794910771772237,0.012479283568484243,110.66141640890474
4.7147152,-74.10844414,2592.07,2025-09-17 18:05:13+00:00,92228.66934681838,1.0,10.822339397695032,38.960421831702114,0.330000000000382,3.049248299038433,1.5225711262493817,0.012986807277234037,110.67440321618197
4.71479182,-74.10852349,2592.14,2025-09-17 18:05:14+00:00,92240.91316960458,1.0,12.243822786200326,44.077762030321175,0.06999999999970896,0.5717168667175093,5.117340198619061,0.01469258734344039,110.68909580352542
4.7148748,-74.10860865,2592.04,2025-09-17 18:05:15+00:00,92254.1116411206,1.0,13.198471516021527,47.5144974576775,-0.09999999999990905,-0.7576634906437446,3.436735427356325,0.01583816581922583,110.70493396934465
4.71496025,-74.10868632,2591.54,2025-09-17 18:05:16+00:00,92266.93216632683,1.0,12.82052520623256,46.15389074243722,-0.5,-3.8999962322676955,-1.36060671524028,0.015384630247479072,110.72031859959213
4.71503635,-74.10876368,2591.81,2025-09-17 18:05:17+00:00,92278.97788938598,1.0,12.045723059141892,43.36460301291081,0.2699999999999818,2.241459468014832,-2.789287729526407,0.01445486767097027,110.7347734672631
4.71510586,-74.10883776,2591.9,2025-09-17 18:05:18+00:00,92290.25329915923,1.0,11.275409773254069,40.59147518371465,0.09000000000014552,0.7981971547821773,-2.773127829196163,0.013530491727904883,110.748303958991
4.71516988,-74.10890375,2592.07,2025-09-17 18:05:19+00:00,92300.45891910058,1.0,10.205619941349141,36.74023178885691,0.17000000000007276,1.665748881273737,-3.8512433948577396,0.01224674392961897,110.76055070292063
4.71528028,-74.10901659,2592.53,2025-09-17 18:05:21+00:00,92317.98226044413,2.0,17.523341343548964,31.542014418388135,0.4600000000000364,2.625070133495862,-2.5991086852343877,0.021028009612258758,110.78157871253288
